roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
85	tau.SUVR.Schaefer200.ROI.idx.85	1	1.1881646847481167	0.11033385114419875	1.7028141500052623	0.5261259148793125
86	tau.SUVR.Schaefer200.ROI.idx.86	1	1.2201902004811558	0.10195309660669048	1.7793195317568096	0.5511359903996591
87	tau.SUVR.Schaefer200.ROI.idx.87	1	1.1500062059465757	0.12518795748898315	1.8413632845729995	0.6287852812044379
88	tau.SUVR.Schaefer200.ROI.idx.88	1	1.072348764822995	0.1105912567317288	1.6189132947637805	0.374214387104968
89	tau.SUVR.Schaefer200.ROI.idx.89	1	0.9879315734696597	0.1152442551198237	1.518718848034566	0.37284077355690914
90	tau.SUVR.Schaefer200.ROI.idx.90	1	1.1009129454328543	0.10530982785120167	1.4183945452144957	0.3947382577202272
91	tau.SUVR.Schaefer200.ROI.idx.91	1	0.9602437483302394	0.11195894543093211	1.4077508526856355	0.43839778757140696
92	tau.SUVR.Schaefer200.ROI.idx.92	1	1.1470429206933777	0.12001586898566761	1.5028777355057554	0.3285791433293042
93	tau.SUVR.Schaefer200.ROI.idx.93	1	1.2278005026044245	0.10649257686183888	1.502633907693218	0.3389486528766816
94	tau.SUVR.Schaefer200.ROI.idx.94	1	1.1552651304181645	0.11297329419383215	1.5948166349735504	0.31652246282198027
95	tau.SUVR.Schaefer200.ROI.idx.95	1	1.0913355466923846	0.10281656969760987	1.6453270395471715	0.42006610956703044
96	tau.SUVR.Schaefer200.ROI.idx.96	1	1.1247167889525314	0.11595684241549177	1.7024544880709127	0.6679178301572195
97	tau.SUVR.Schaefer200.ROI.idx.97	1	1.092316301801332	0.10306660010621076	1.632802287512044	0.46735375491363274
98	tau.SUVR.Schaefer200.ROI.idx.98	1	1.1246021343085348	0.10358705323330428	1.4582030421364234	0.27529945992639243
99	tau.SUVR.Schaefer200.ROI.idx.99	1	1.1679005537463165	0.09787009432548735	1.775179978164014	0.5835093447538721
100	tau.SUVR.Schaefer200.ROI.idx.100	1	1.2056223645089488	0.09375004575737865	1.830465408920441	0.6173861464144084
101	tau.SUVR.Schaefer200.ROI.idx.101	1	1.1822855305877427	0.08488370319648475	1.6928429253980926	0.53617983461713
102	tau.SUVR.Schaefer200.ROI.idx.102	1	1.1552106416314885	0.12914038161941477	1.9528685187208166	0.6520903552253976
103	tau.SUVR.Schaefer200.ROI.idx.103	1	1.0881113741503403	0.08419344411652151	1.4238602022927478	0.40580263997051813
104	tau.SUVR.Schaefer200.ROI.idx.104	1	1.0760848396735556	0.10692829690903252	1.6055323498468956	0.615342770886756
